"ecost","road.layout","cost.setup","pa.cost","road.cost","forest.cost","x1","x2","x3","y1","y2","y3"
0,42583,1,0,0,0,50,80,50,20,20,70
113.137084989848,51466,2,0,1,0,50,50,70,50,50,70
226.274169979695,74883,3,0,2,0,40,60,80,40,60,80
339.411254969543,111433,4,0,3,0,50,80,90,50,80,90
452.54833995939,31691,5,0,4,0,30,40,60,30,40,60
565.685424949238,110703,6,0,5,0,40,80,90,40,80,90
146.353559186134,147177,7,1,0,0,100,100,90,10,90,100
303.137100553026,28419,8,1,1,0,70,90,100,10,30,60
450.974770378514,17393,9,1,2,0,60,80,90,10,30,50
589.767759393298,17392,10,1,3,0,50,80,90,10,30,50
722.39388221827,18031,11,1,4,0,50,70,80,20,30,50
849.577354280619,18031,12,1,5,0,50,70,80,20,30,50
292.707118372269,62694,13,2,0,0,100,100,100,10,20,80
452.568842898212,45925,14,2,1,0,80,100,100,10,40,70
606.274201106053,28419,15,2,2,0,70,90,100,10,30,60
756.930604080399,16016,16,2,3,0,60,80,100,10,20,50
901.949540757029,17393,17,2,4,0,60,80,90,10,30,50
1041.11932625696,15925,18,2,5,0,50,70,90,10,20,50
439.060677558403,121741,19,3,0,0,80,100,100,10,20,100
599.645168082498,45925,20,3,1,0,80,100,100,10,40,70
757.881477208249,28419,21,3,2,0,70,90,100,10,30,60
909.411301659079,28419,22,3,3,0,70,90,100,10,30,60
1060.57228172769,16016,23,3,4,0,60,80,100,10,20,50
1210.20154811525,28418,24,3,5,0,60,90,100,10,30,60
585.414236744538,90396,25,4,0,0,100,100,100,10,30,90
746.721493266785,45925,26,4,1,0,80,100,100,10,40,70
905.137685796423,45925,27,4,2,0,80,100,100,10,40,70
1061.01857776128,28419,28,4,3,0,70,90,100,10,30,60
1212.54840221211,28419,29,4,4,0,70,90,100,10,30,60
1364.07822666293,28419,30,4,5,0,70,90,100,10,30,60
731.767795930672,121011,31,5,0,0,70,100,100,10,10,100
893.51813386473,43738,32,5,1,0,80,100,100,10,30,70
1052.21401098071,45925,33,5,2,0,80,100,100,10,40,70
1210.63020351035,45925,34,5,3,0,80,100,100,10,40,70
1364.1556783143,28419,35,5,4,0,70,90,100,10,30,60
1515.68550276513,28419,36,5,5,0,70,90,100,10,30,60
593.244328262947,153819,37,0,0,1,100,100,100,10,100,100
758.175601502555,43738,38,0,1,1,80,100,100,10,30,70
918.820552525015,43738,39,0,2,1,80,100,100,10,30,70
1061.31767668382,52930,40,0,3,1,20,60,70,20,60,70
1174.45476167367,98284,41,0,4,1,50,50,90,50,50,90
1287.59184666352,115084,42,0,5,1,20,90,90,20,90,90
739.597887449082,88209,43,1,0,1,100,100,100,10,10,90
904.750238071009,43738,44,1,1,1,80,100,100,10,30,70
1065.39518909347,43738,45,1,2,1,80,100,100,10,30,70
1225.12044635021,45925,46,1,3,1,80,100,100,10,40,70
1380.21548393213,28419,47,1,4,1,70,90,100,10,30,60
1531.74530838296,28419,48,1,5,1,70,90,100,10,30,60
885.951446635216,121013,49,2,0,1,90,100,100,10,10,100
1051.18373703752,64150,50,2,1,1,80,100,100,10,30,80
1211.96982566192,43738,51,2,2,1,80,100,100,10,30,70
1372.1967715345,45925,52,2,3,1,80,100,100,10,40,70
1530.61296406414,45925,53,2,4,1,80,100,100,10,40,70
1683.35258448516,28419,54,2,5,1,70,90,100,10,30,60
1032.30500582135,88206,55,3,0,1,70,100,100,10,10,90
1197.54388186673,64150,56,3,1,1,80,100,100,10,30,80
1358.54446223038,43738,57,3,2,1,80,100,100,10,30,70
1519.18941325284,43738,58,3,3,1,80,100,100,10,30,70
1677.68928924842,45925,59,3,4,1,80,100,100,10,40,70
1834.95986058735,28419,60,3,5,1,70,90,100,10,30,60
1178.65856500749,88938,61,4,0,1,100,100,100,10,20,90
1343.90402669594,64150,62,4,1,1,80,100,100,10,30,80
1505.11909879883,43738,63,4,2,1,80,100,100,10,30,70
1665.76404982129,43738,64,4,3,1,80,100,100,10,30,70
1824.76561443271,45925,65,4,4,1,80,100,100,10,40,70
1983.18180696235,45925,66,4,5,1,80,100,100,10,40,70
1325.01212419362,103518,67,5,0,1,100,100,100,10,70,90
1490.26417152515,64150,68,5,1,1,80,100,100,10,30,80
1651.69373536729,43738,69,5,2,1,80,100,100,10,30,70
1812.33868638975,43738,70,5,3,1,80,100,100,10,30,70
1971.841939617,45925,71,5,4,1,80,100,100,10,40,70
2130.25813214663,45925,72,5,5,1,80,100,100,10,40,70
1186.48865652589,88201,73,0,0,2,20,100,100,10,10,90
1353.75215320178,64151,74,0,1,2,90,100,100,10,30,80
1516.35120300511,43738,75,0,2,2,80,100,100,10,30,70
1676.99615402757,43738,76,0,3,2,80,100,100,10,30,70
1837.64110505003,43738,77,0,4,2,80,100,100,10,30,70
1997.67204980221,45925,78,0,5,2,80,100,100,10,40,70
1332.84221571203,103518,79,1,0,2,100,100,100,10,70,90
1500.10571238791,64151,80,1,1,2,90,100,100,10,30,80
1662.92583957356,43738,81,1,2,2,80,100,100,10,30,70
1823.57079059602,43738,82,1,3,2,80,100,100,10,30,70
1984.21574161848,43738,83,1,4,2,80,100,100,10,30,70
2144.7483749865,45925,84,1,5,2,80,100,100,10,40,70
1479.19577489816,141345,85,2,0,2,100,100,90,10,80,100
1646.45927157405,64151,86,2,1,2,90,100,100,10,30,80
1809.50047614202,43738,87,2,2,2,80,100,100,10,30,70
1970.14542716448,43738,88,2,3,2,80,100,100,10,30,70
2130.79037818694,43738,89,2,4,2,80,100,100,10,30,70
2291.4353292094,43738,90,2,5,2,80,100,100,10,30,70
1625.5493340843,95499,91,3,0,2,100,100,100,10,50,90
1792.81283076018,64151,92,3,1,2,90,100,100,10,30,80
1956.00732924584,64150,93,3,2,2,80,100,100,10,30,80
2116.72006373293,43738,94,3,3,2,80,100,100,10,30,70
2277.36501475539,43738,95,3,4,2,80,100,100,10,30,70
2438.00996577785,43738,96,3,5,2,80,100,100,10,30,70
1771.90289327043,121006,97,4,0,2,20,100,100,10,10,100
1939.16638994631,64151,98,4,1,2,90,100,100,10,30,80
2102.36747407505,64150,99,4,2,2,80,100,100,10,30,80
2263.29470030139,43738,100,4,3,2,80,100,100,10,30,70
2423.93965132385,43738,101,4,4,2,80,100,100,10,30,70
2584.58460234631,43738,102,4,5,2,80,100,100,10,30,70
1918.25645245657,121011,103,5,0,2,70,100,100,10,10,100
2085.51994913245,64151,104,5,1,2,90,100,100,10,30,80
2248.72761890425,64150,105,5,2,2,80,100,100,10,30,80
2409.86933686984,43738,106,5,3,2,80,100,100,10,30,70
2570.5142878923,43738,107,5,4,2,80,100,100,10,30,70
2731.15923891476,43738,108,5,5,2,80,100,100,10,30,70
1779.73298478884,121007,109,0,0,3,30,100,100,10,10,100
1947.3768221033,64151,110,0,1,3,90,100,100,10,30,80
2112.96393526613,64150,111,0,2,3,80,100,100,10,30,80
2274.52680450767,43738,112,0,3,3,80,100,100,10,30,70
2435.17175553012,43738,113,0,4,3,80,100,100,10,30,70
2595.81670655258,43738,114,0,5,3,80,100,100,10,30,70
1926.08654397498,88208,115,1,0,3,90,100,100,10,10,90
2093.73038128943,64151,116,1,1,3,90,100,100,10,30,80
2259.32408009534,64150,117,1,2,3,80,100,100,10,30,80
2421.10144107612,43738,118,1,3,3,80,100,100,10,30,70
2581.74639209858,43738,119,1,4,3,80,100,100,10,30,70
2742.39134312104,43738,120,1,5,3,80,100,100,10,30,70
2072.44010316111,131949,121,2,0,3,100,100,100,10,60,100
2240.08394047557,64151,122,2,1,3,90,100,100,10,30,80
2405.68422492455,64150,123,2,2,3,80,100,100,10,30,80
2567.67607764457,43738,124,2,3,3,80,100,100,10,30,70
2728.32102866703,43738,125,2,4,3,80,100,100,10,30,70
2888.96597968949,43738,126,2,5,3,80,100,100,10,30,70
2218.79366234725,121014,127,3,0,3,100,100,100,10,10,100
2386.4374996617,64151,128,3,1,3,90,100,100,10,30,80
2552.04436975376,64150,129,3,2,3,80,100,100,10,30,80
2714.25071421303,43738,130,3,3,3,80,100,100,10,30,70
2874.89566523549,43738,131,3,4,3,80,100,100,10,30,70
3035.54061625795,43738,132,3,5,3,80,100,100,10,30,70
2365.14722153338,128304,133,4,0,3,100,100,100,10,50,100
2532.79105884784,64151,134,4,1,3,90,100,100,10,30,80
2698.40451458296,64150,135,4,2,3,80,100,100,10,30,80
2860.82535078148,43738,136,4,3,3,80,100,100,10,30,70
3021.47030180394,43738,137,4,4,3,80,100,100,10,30,70
3182.1152528264,43738,138,4,5,3,80,100,100,10,30,70
2511.50078071951,88205,139,5,0,3,60,100,100,10,10,90
2679.14461803397,64151,140,5,1,3,90,100,100,10,30,80
2844.76465941217,64150,141,5,2,3,80,100,100,10,30,80
3007.19106628336,64150,142,5,3,3,80,100,100,10,30,80
3168.0449383724,43738,143,5,4,3,80,100,100,10,30,70
3328.68988939486,43738,144,5,5,3,80,100,100,10,30,70
2372.97731305179,121743,145,0,0,4,100,100,100,10,20,100
2541.00149100482,64151,146,0,1,4,90,100,100,10,30,80
2707.50430640355,64151,147,0,2,4,90,100,100,10,30,80
2871.42738264524,64150,148,0,3,4,80,100,100,10,30,80
3032.70240601022,43738,149,0,4,4,80,100,100,10,30,70
3193.34735703268,43738,150,0,5,4,80,100,100,10,30,70
2519.33087223792,108621,151,1,0,4,100,100,100,10,80,90
2687.35505019096,64151,152,1,1,4,90,100,100,10,30,80
2853.85786558969,64151,153,1,2,4,90,100,100,10,30,80
3017.78752747445,64150,154,1,3,4,80,100,100,10,30,80
3179.27704257867,43738,155,1,4,4,80,100,100,10,30,70
3339.92199360113,43738,156,1,5,4,80,100,100,10,30,70
2665.68443142406,131949,157,2,0,4,100,100,100,10,60,100
2833.70860937709,64151,158,2,1,4,90,100,100,10,30,80
3000.21142477582,64151,159,2,2,4,90,100,100,10,30,80
3164.14767230366,64150,160,2,3,4,80,100,100,10,30,80
3325.85167914713,43738,161,2,4,4,80,100,100,10,30,70
3486.49663016959,43738,162,2,5,4,80,100,100,10,30,70
2812.03799061019,121013,163,3,0,4,90,100,100,10,10,100
2980.06216856323,64151,164,3,1,4,90,100,100,10,30,80
3146.56498396196,64151,165,3,2,4,90,100,100,10,30,80
3310.50781713287,64150,166,3,3,4,80,100,100,10,30,80
3472.42631571558,43738,167,3,4,4,80,100,100,10,30,70
3633.07126673804,43738,168,3,5,4,80,100,100,10,30,70
2958.39154979633,128304,169,4,0,4,100,100,100,10,50,100
3126.41572774936,64151,170,4,1,4,90,100,100,10,30,80
3292.91854314809,64151,171,4,2,4,90,100,100,10,30,80
3456.86796196207,64150,172,4,3,4,80,100,100,10,30,80
3619.00095228404,43738,173,4,4,4,80,100,100,10,30,70
3779.6459033065,43738,174,4,5,4,80,100,100,10,30,70
3104.74510898246,121009,175,5,0,4,50,100,100,10,10,100
3272.7692869355,64151,176,5,1,4,90,100,100,10,30,80
3439.27210233423,64151,177,5,2,4,90,100,100,10,30,80
3603.22810679128,64150,178,5,3,4,80,100,100,10,30,80
3765.57558885249,43738,179,5,4,4,80,100,100,10,30,70
3926.22053987495,43738,180,5,5,4,80,100,100,10,30,70
2966.22164131474,121008,181,0,0,5,40,100,100,10,10,100
3134.62615990635,64151,182,0,1,5,90,100,100,10,30,80
3301.12897530508,64151,183,0,2,5,90,100,100,10,30,80
3467.46442315316,64150,184,0,3,5,80,100,100,10,30,80
3629.89083002435,64150,185,0,4,5,80,100,100,10,30,80
3790.87800751278,43738,186,0,5,5,80,100,100,10,30,70
3112.57520050087,128304,187,1,0,5,100,100,100,10,50,100
3280.97971909248,64151,188,1,1,5,90,100,100,10,30,80
3447.48253449121,64151,189,1,2,5,90,100,100,10,30,80
3613.82456798237,64150,190,1,3,5,80,100,100,10,30,80
3776.25097485356,64150,191,1,4,5,80,100,100,10,30,80
3937.45264408123,43738,192,1,5,5,80,100,100,10,30,70
3258.92875968701,88201,193,2,0,5,20,100,100,10,10,90
3427.33327827862,64151,194,2,1,5,90,100,100,10,30,80
3593.83609367735,64151,195,2,2,5,90,100,100,10,30,80
3760.18471281157,64150,196,2,3,5,80,100,100,10,30,80
3922.61111968277,64150,197,2,4,5,80,100,100,10,30,80
4084.02728064968,43738,198,2,5,5,80,100,100,10,30,70
3405.28231887314,121006,199,3,0,5,20,100,100,10,10,100
3573.68683746475,64151,200,3,1,5,90,100,100,10,30,80
3740.18965286348,64151,201,3,2,5,90,100,100,10,30,80
3906.54485764078,64150,202,3,3,5,80,100,100,10,30,80
4068.97126451197,64150,203,3,4,5,80,100,100,10,30,80
4230.60191721814,43738,204,3,5,5,80,100,100,10,30,70
3551.63587805927,123201,205,4,0,5,100,100,100,10,30,100
3720.04039665089,64151,206,4,1,5,90,100,100,10,30,80
3886.54321204961,64151,207,4,2,5,90,100,100,10,30,80
4052.90500246999,64150,208,4,3,5,80,100,100,10,30,80
4215.33140934118,64150,209,4,4,5,80,100,100,10,30,80
4377.17655378659,43738,210,4,5,5,80,100,100,10,30,70
3697.98943724541,121742,211,5,0,5,90,100,100,10,20,100
3866.39395583702,64151,212,5,1,5,90,100,100,10,30,80
4032.89677123575,64151,213,5,2,5,90,100,100,10,30,80
4199.2651472992,64150,214,5,3,5,80,100,100,10,30,80
4361.69155417039,64150,215,5,4,5,80,100,100,10,30,80
4523.75119035505,43738,216,5,5,5,80,100,100,10,30,70
